channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Mantep banget gerakkan nya Bagus &amp; Kompak.<br><br>[]gus mbethik&#39;65 kaji kotjo,"Mantep banget gerakkan nya Bagus & Kompak.

[]gus mbethik'65 kaji kotjo",@subanditsukoco,https://yt3.ggpht.com/ytc/AIdro_mCevaRsz_iS6tXP9FsJ7f2qIYZSQcwVr_QvmWgK1WUaw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@subanditsukoco,{'value': 'UCIK7X4Lwc698j-w73vS2_0w'},True,none,0,2023-06-07T07:30:44Z,2023-06-07T07:30:44Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Pokoknya Jogjaku kota Istimewa👌👌👍,Pokoknya Jogjaku kota Istimewa👌👌👍,@feripatrianingsih6083,https://yt3.ggpht.com/ytc/AIdro_mMRF-rcRa9b_yXNV-hvxnhOm6TnYsgR_H4o8INMq8xI4X1RzG0FqBQ7ldbX62yXqGQeA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@feripatrianingsih6083,{'value': 'UCOtOvUdhO9x04EpVnJ0iYIg'},True,none,1,2023-06-07T04:37:05Z,2023-06-07T04:37:05Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Ku suka kk keseruannya keren hbiiis,Ku suka kk keseruannya keren hbiiis,@muhammadfahrial-syafiq9264,https://yt3.ggpht.com/ytc/AIdro_nQnix-VeJ6EdB4XIG9FFgrkb8_vpSDP2Ft1Cp8cNbPAPogyXsBLaYw96po1fV2IWNUFw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@muhammadfahrial-syafiq9264,{'value': 'UCHaEzmOuxsSUgyX5ViF-XOQ'},True,none,1,2023-06-07T01:29:06Z,2023-06-07T01:29:06Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Lucu ps ujungnyaaa bkin ketawaa kk😅😅😅,Lucu ps ujungnyaaa bkin ketawaa kk😅😅😅,@muhammadfahrial-syafiq9264,https://yt3.ggpht.com/ytc/AIdro_nQnix-VeJ6EdB4XIG9FFgrkb8_vpSDP2Ft1Cp8cNbPAPogyXsBLaYw96po1fV2IWNUFw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@muhammadfahrial-syafiq9264,{'value': 'UCHaEzmOuxsSUgyX5ViF-XOQ'},True,none,1,2023-06-07T01:28:44Z,2023-06-07T01:28:44Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Suami orang Jogja tapi seneng tinggal di kota sendiri Kebumen 😅 udah bosen keliling Jogja sumpek kayak Jakarta 😊,Suami orang Jogja tapi seneng tinggal di kota sendiri Kebumen 😅 udah bosen keliling Jogja sumpek kayak Jakarta 😊,@KEEWANCHANNEL,https://yt3.ggpht.com/ZaI3yWWBoT-EqCCtRbXaGwrEujpaiZSAL4V4Ac1BKk5kkSIqW42XdLJHUP9HUIXtrjbkVTp3C64=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@KEEWANCHANNEL,{'value': 'UCkQ4fXIjTaE9X60B4eaSz1Q'},True,none,0,2023-06-06T23:57:37Z,2023-06-06T23:57:37Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Biasa aja..,Biasa aja..,@user-fd9xi8xq3c,https://yt3.ggpht.com/ytc/AIdro_miAAAPZKICt45qLVk9PCfhKibQpsxJuYKJ1jCv5OhzuED7_B4kfBYRTHdu6Lm8ocHlAQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@user-fd9xi8xq3c,{'value': 'UCFjxscnFK29u4_eSZvsWwfg'},True,none,0,2023-06-06T23:15:31Z,2023-06-06T23:15:31Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Mantap ❤,Mantap ❤,@LeliNurwendah-cp4mj,https://yt3.ggpht.com/ytc/AIdro_m0TWGDJ1pPXYKd1OWZSHyNjjQEhHTuPiVpVP_rKDXXx93mplIIvtbIMrbtzIhsrc4YVA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@LeliNurwendah-cp4mj,{'value': 'UCLBxQVgvh5_vGAOcdYKJFuw'},True,none,0,2023-06-06T17:49:29Z,2023-06-06T17:49:29Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,Jooozzz 👏👏👏👏🥰🥰🥰,Jooozzz 👏👏👏👏🥰🥰🥰,@Taurus2477,https://yt3.ggpht.com/12xo3ZBR-na_VKS8hM-uVV2lHb8cpPYosmZuvBraMeJEX5LeP6Gm_0ki0LI27Fz7k-tz5svu=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Taurus2477,{'value': 'UCMvf1o3JOciCktTQgXqWLYg'},True,none,0,2023-06-06T06:54:39Z,2023-06-06T06:54:39Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,"Mantaaapp👍👍👍👏👏👏sangat menghibur kalian anak&quot; muda harapan bangsa,...semoga Sukses SELALU kedepanxa kalian bersama🤲🤲👌🙏❤️","Mantaaapp👍👍👍👏👏👏sangat menghibur kalian anak"" muda harapan bangsa,...semoga Sukses SELALU kedepanxa kalian bersama🤲🤲👌🙏❤️",@omori5020,https://yt3.ggpht.com/ytc/AIdro_l3hc7cRl5-00qyKnY2Z8arbytY33cuV3tCoUZ7V4A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@omori5020,{'value': 'UCnIHhZ78VfElS6DU4o9mMpw'},True,none,2,2023-06-06T06:11:51Z,2023-06-06T06:11:51Z,
UCtzmp_fZECtymEqRBIupM-w,I8hSL-t4G9s,🎉🎉🎉,🎉🎉🎉,@laskarpelangi6882,https://yt3.ggpht.com/ytc/AIdro_lBff1Erk9GCeHUlGvt5tAdcMksNThRlD8ID5tKsAvDGJY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@laskarpelangi6882,{'value': 'UCWJF6l0gFfY-Za8CYBXdhXg'},True,none,0,2023-06-05T05:10:05Z,2023-06-05T05:10:05Z,
